"","V1"
"invasive_ventilator_flag.auc",0.697384297108739
"apsiii_min.auc",0.676868872430029
"sofa_idx1.auc",0.606605962215395
"bun_idx1.auc",0.593718726980144
"creatinine_idx1.auc",0.575703849275858
"aniongap_idx1.auc",0.573317551988462
"ph_idx1.auc",0.571585682086814
"glucose_idx1_18.auc",0.544327907605987
"wbc_idx1.auc",0.542705756242305
"resp_rate_idx1.auc",0.541913452463715
"glucose_idx1.auc",0.53773605668338
"temperature_idx1.auc",0.532758265786847
"heart_rate_idx1.auc",0.531380472818931
"potassium_idx1.auc",0.531368173985767
"rel_disease.auc",0.530677497407535
"urineoutput_sum.auc",0.525892927653085
"pt_idx1.auc",0.524566919245861
"cerebrovascular_disease.auc",0.524250386118631
"mbp_idx1.auc",0.521793532367292
"inr_idx1.auc",0.521144930744623
"congestive_heart_failure.auc",0.516844546632644
"severe_liver_disease.auc",0.514408730359087
"sodium_idx1.auc",0.513180788963674
"spo2_idx1.auc",0.51303158469818
"gender.auc",0.509561048171293
"diabetes.auc",0.505773007556662
"noninvasive_ventilator_flag.auc",0.504673232948962
"hypertensive.auc",0.504654461045712
"age_score.auc",0.503093803847852
"admission_age.auc",0.502739403260615
"platelet_idx1.auc",0.501287817293713
"rbc_idx1.auc",0.500591638605908
"dbp_idx1.auc",0.493412032919445
"hemoglobin_idx1.auc",0.49143871750357
"peripheral_vascular_disease.auc",0.491122184376339
"sbp_idx1.auc",0.483354500272516
"bicarbote_idx1.auc",0.460859934414854
"baseexcess_idx1.auc",0.444942655072104
"gcs_idx1.auc",0.425086512581706
