""
"1","Variables","Total (n = 2557)","0 (n = 1578)","1 (n = 979)","p"
"2","congestive_heart_failure, n (%)","","","","0.106"
"3","  0","1252 (49)","793 (50)","459 (47)",""
"4","  1","1305 (51)","785 (50)","520 (53)",""
"5","peripheral_vascular_disease, n (%)","","","","0.312"
"6","  0","2004 (78)","1226 (78)","778 (79)",""
"7","  1","553 (22)","352 (22)","201 (21)",""
"8","cerebrovascular_disease, n (%)","","","","0.002"
"9","  0","2119 (83)","1337 (85)","782 (80)",""
"10","  1","438 (17)","241 (15)","197 (20)",""
"11","diabetes, n (%)","","","","0.586"
"12","  0","1601 (63)","995 (63)","606 (62)",""
"13","  1","956 (37)","583 (37)","373 (38)",""
"14","severe_liver_disease, n (%)","","","","< 0.001"
"15","  0","2498 (98)","1559 (99)","939 (96)",""
"16","  1","59 (2)","19 (1)","40 (4)",""
"17","rel_disease, n (%)","","","","0.002"
"18","  0","1724 (67)","1101 (70)","623 (64)",""
"19","  1","833 (33)","477 (30)","356 (36)",""
"20","hypertensive, n (%)","","","","0.606"
"21","  0","524 (20)","329 (21)","195 (20)",""
"22","  1","2033 (80)","1249 (79)","784 (80)",""
"23","invasive_ventilator_flag, n (%)","","","","< 0.001"
"24","  0","1605 (63)","1229 (78)","376 (38)",""
"25","  1","952 (37)","349 (22)","603 (62)",""
"26","noninvasive_ventilator_flag, n (%)","","","","0.601"
"27","  0","511 (20)","321 (20)","190 (19)",""
"28","  1","2046 (80)","1257 (80)","789 (81)",""
"29","gender, n (%)","","","","0.367"
"30","  0","1182 (46)","741 (47)","441 (45)",""
"31","  1","1375 (54)","837 (53)","538 (55)",""
"32","age_score, n (%)","","","","0.838"
"33","  2","592 (23)","371 (24)","221 (23)",""
"34","  3","1186 (46)","726 (46)","460 (47)",""
"35","  4","779 (30)","481 (30)","298 (30)",""
"36","admission_age, Median (Q1,Q3)","75.49 (70.48, 81.54)","75.54 (70.34, 81.53)","75.29 (70.62, 81.54)","0.816"
"37","sbp_idx1, Median (Q1,Q3)","122 (107, 140)","122 (107, 140)","122 (106, 139)","0.156"
"38","dbp_idx1, Median (Q1,Q3)","65 (55, 77)","65 (55, 77)","65 (54, 78)","0.575"
"39","mbp_idx1, Median (Q1,Q3)","82 (72, 94)","83 (73, 94)","81 (70, 93.5)","0.064"
"40","temperature_idx1, Median (Q1,Q3)","36.67 (36.44, 37)","36.67 (36.44, 36.94)","36.72 (36.44, 37)","0.005"
"41","resp_rate_idx1, Median (Q1,Q3)","19 (16, 24)","19 (16, 24)","20 (16, 24)","< 0.001"
"42","spo2_idx1, Median (Q1,Q3)","97 (94, 100)","97 (94, 100)","97 (94, 100)","0.261"
"43","glucose_idx1, Median (Q1,Q3)","134 (108, 174)","131 (107, 169)","139 (110, 182)","0.001"
"44","inr_idx1, Median (Q1,Q3)","1.3 (1.1, 1.5)","1.3 (1.1, 1.5)","1.3 (1.1, 1.5)","0.069"
"45","pt_idx1, Median (Q1,Q3)","13.8 (12.2, 16.3)","13.6 (12.2, 16.2)","13.9 (12.3, 16.6)","0.036"
"46","aniongap_idx1, Median (Q1,Q3)","14 (11, 17)","13 (11, 16)","14 (12, 18)","< 0.001"
"47","bicarbote_idx1, Median (Q1,Q3)","23 (21, 26)","23 (21, 26)","23 (20, 26)","< 0.001"
"48","potassium_idx1, Median (Q1,Q3)","4.3 (3.9, 4.8)","4.3 (3.9, 4.7)","4.4 (3.9, 4.8)","0.008"
"49","sodium_idx1, Median (Q1,Q3)","138 (135, 141)","138 (135, 141)","138 (135, 142)","0.261"
"50","glucose_idx1_18, Median (Q1,Q3)","131 (107, 167)","128 (106, 160)","136 (108, 177.5)","< 0.001"
"51","creatinine_idx1, Median (Q1,Q3)","1.1 (0.8, 1.6)","1 (0.8, 1.5)","1.2 (0.8, 1.9)","< 0.001"
"52","bun_idx1, Median (Q1,Q3)","22 (16, 36)","20 (15, 32)","25 (18, 44)","< 0.001"
"53","wbc_idx1, Median (Q1,Q3)","10.9 (7.9, 15.1)","10.6 (7.7, 14.8)","11.5 (8.3, 15.8)","< 0.001"
"54","rbc_idx1, Median (Q1,Q3)","3.5 (2.96, 4.06)","3.49 (2.97, 4.06)","3.52 (2.94, 4.08)","0.96"
"55","platelet_idx1, Median (Q1,Q3)","188 (142, 249)","188 (143, 246)","189 (139, 253.5)","0.913"
"56","hemoglobin_idx1, Median (Q1,Q3)","10.3 (8.6, 11.9)","10.3 (8.7, 11.9)","10.3 (8.5, 11.9)","0.466"
"57","ph_idx1, Median (Q1,Q3)","7.36 (7.3, 7.4)","7.37 (7.31, 7.41)","7.35 (7.28, 7.4)","< 0.001"
"58","baseexcess_idx1, Median (Q1,Q3)","0 (-3, 2)","0 (-2, 2)","0 (-4, 2)","< 0.001"
"59","apsiii_min, Median (Q1,Q3)","43 (32, 55)","39 (30, 49)","50 (38, 63)","< 0.001"
"60","sofa_idx1, Median (Q1,Q3)","1 (0, 3)","1 (0, 2)","2 (0, 4)","< 0.001"
"61","gcs_idx1, Median (Q1,Q3)","15 (15, 15)","15 (15, 15)","15 (14, 15)","< 0.001"
"62","urineoutput_sum, Median (Q1,Q3)","1335 (850, 2090)","1360 (890, 2110)","1300 (800, 2037)","0.028"
"63","heart_rate_idx1, Median (Q1,Q3)","85 (74, 100)","84 (75, 97)","87 (74, 103)","0.008"
