"","Overall"
"n","1791"
"congestive_heart_failure = Yes (%)","893 (49.9)"
"peripheral_vascular_disease = Yes (%)","375 (20.9)"
"cerebrovascular_disease = Yes (%)","303 (16.9)"
"diabetes = Yes (%)","657 (36.7)"
"severe_liver_disease = Yes (%)","41 (2.3)"
"rel_disease = Yes (%)","571 (31.9)"
"hypertensive = Yes (%)","1415 (79.0)"
"invasive_ventilator_flag = Yes (%)","653 (36.5)"
"noninvasive_ventilator_flag = Yes (%)","1422 (79.4)"
"gender = Male (%)","956 (53.4)"
"age_score (mean (SD))","3.08 (0.73)"
"admission_age (mean (SD))","76.55 (7.42)"
"sbp_idx1 (mean (SD))","123.84 (24.78)"
"dbp_idx1 (mean (SD))","67.56 (18.31)"
"mbp_idx1 (mean (SD))","83.91 (18.37)"
"temperature_idx1 (mean (SD))","36.69 (0.63)"
"resp_rate_idx1 (mean (SD))","20.36 (6.14)"
"spo2_idx1 (mean (SD))","96.14 (4.20)"
"glucose_idx1 (mean (SD))","150.82 (69.23)"
"inr_idx1 (mean (SD))","1.48 (0.96)"
"pt_idx1 (mean (SD))","16.14 (10.81)"
"aniongap_idx1 (mean (SD))","14.24 (4.44)"
"bicarbote_idx1 (mean (SD))","23.64 (5.11)"
"potassium_idx1 (mean (SD))","4.38 (0.77)"
"sodium_idx1 (mean (SD))","138.00 (5.26)"
"glucose_idx1_18 (mean (SD))","148.16 (71.24)"
"creatinine_idx1 (mean (SD))","1.47 (1.32)"
"bun_idx1 (mean (SD))","29.76 (23.41)"
"wbc_idx1 (mean (SD))","12.49 (7.33)"
"rbc_idx1 (mean (SD))","3.55 (0.79)"
"platelet_idx1 (mean (SD))","205.93 (95.55)"
"hemoglobin_idx1 (mean (SD))","10.45 (2.29)"
"ph_idx1 (mean (SD))","7.35 (0.09)"
"baseexcess_idx1 (mean (SD))","-0.17 (5.26)"
"apsiii_min (mean (SD))","45.45 (18.35)"
"sofa_idx1 (mean (SD))","1.86 (2.21)"
"gcs_idx1 (mean (SD))","14.45 (1.80)"
"urineoutput_sum (mean (SD))","1569.49 (1110.64)"
"heart_rate_idx1 (mean (SD))","87.66 (20.28)"
