"","No","Yes","p","test"
"n","1105","686","",""
"congestive_heart_failure = Yes (%)","543 (49.1)","350 (51.0)","0.468",""
"peripheral_vascular_disease = Yes (%)","235 (21.3)","140 (20.4)","0.708",""
"cerebrovascular_disease = Yes (%)","163 (14.8)","140 (20.4)","0.002",""
"diabetes = Yes (%)","396 (35.8)","261 (38.0)","0.372",""
"severe_liver_disease = Yes (%)","13 (1.2)","28 (4.1)","<0.001",""
"rel_disease = Yes (%)","330 (29.9)","241 (35.1)","0.023",""
"hypertensive = Yes (%)","860 (77.8)","555 (80.9)","0.135",""
"invasive_ventilator_flag = Yes (%)","237 (21.4)","416 (60.6)","<0.001",""
"noninvasive_ventilator_flag = Yes (%)","868 (78.6)","554 (80.8)","0.288",""
"gender = Male (%)","587 (53.1)","369 (53.8)","0.821",""
"age_score (mean (SD))","3.08 (0.73)","3.08 (0.74)","0.976",""
"admission_age (mean (SD))","76.62 (7.47)","76.43 (7.35)","0.584",""
"sbp_idx1 (mean (SD))","124.13 (24.30)","123.37 (25.55)","0.528",""
"dbp_idx1 (mean (SD))","67.28 (16.96)","68.00 (20.30)","0.423",""
"mbp_idx1 (mean (SD))","84.18 (17.36)","83.47 (19.90)","0.427",""
"temperature_idx1 (mean (SD))","36.68 (0.56)","36.70 (0.73)","0.448",""
"resp_rate_idx1 (mean (SD))","19.97 (5.83)","21.01 (6.57)","<0.001",""
"spo2_idx1 (mean (SD))","96.12 (3.96)","96.17 (4.56)","0.808",""
"glucose_idx1 (mean (SD))","147.56 (66.13)","156.07 (73.71)","0.011",""
"inr_idx1 (mean (SD))","1.47 (0.97)","1.51 (0.92)","0.378",""
"pt_idx1 (mean (SD))","15.82 (9.91)","16.67 (12.11)","0.104",""
"aniongap_idx1 (mean (SD))","13.80 (4.26)","14.95 (4.63)","<0.001",""
"bicarbote_idx1 (mean (SD))","23.88 (4.96)","23.26 (5.33)","0.012",""
"potassium_idx1 (mean (SD))","4.36 (0.77)","4.42 (0.77)","0.113",""
"sodium_idx1 (mean (SD))","137.90 (4.91)","138.15 (5.78)","0.317",""
"glucose_idx1_18 (mean (SD))","144.13 (67.24)","154.64 (76.87)","0.002",""
"creatinine_idx1 (mean (SD))","1.35 (1.15)","1.66 (1.54)","<0.001",""
"bun_idx1 (mean (SD))","27.38 (21.54)","33.59 (25.71)","<0.001",""
"wbc_idx1 (mean (SD))","12.19 (6.88)","12.98 (7.99)","0.026",""
"rbc_idx1 (mean (SD))","3.55 (0.79)","3.55 (0.79)","0.921",""
"platelet_idx1 (mean (SD))","205.68 (93.99)","206.34 (98.09)","0.888",""
"hemoglobin_idx1 (mean (SD))","10.46 (2.26)","10.43 (2.33)","0.841",""
"ph_idx1 (mean (SD))","7.35 (0.08)","7.33 (0.10)","<0.001",""
"baseexcess_idx1 (mean (SD))","0.21 (4.97)","-0.78 (5.66)","<0.001",""
"apsiii_min (mean (SD))","41.53 (16.82)","51.77 (18.95)","<0.001",""
"sofa_idx1 (mean (SD))","1.57 (2.07)","2.32 (2.34)","<0.001",""
"gcs_idx1 (mean (SD))","14.57 (1.76)","14.26 (1.85)","<0.001",""
"urineoutput_sum (mean (SD))","1584.59 (1101.08)","1545.18 (1126.25)","0.466",""
"heart_rate_idx1 (mean (SD))","86.63 (19.33)","89.33 (21.62)","0.006",""
