"name","desc","No (N=1105)","Yes (N=686)","id","OR (univariable)","OR (multivariable)"
"congestive_heart_failure","No","562 (50.9%)","336 (49%)","congestive_heart_failureNo","",""
"","Yes","543 (49.1%)","350 (51%)","congestive_heart_failureYes","1.08 (0.89-1.30, p=.439)",""
"peripheral_vascular_disease","No","870 (78.7%)","546 (79.6%)","peripheral_vascular_diseaseNo","",""
"","Yes","235 (21.3%)","140 (20.4%)","peripheral_vascular_diseaseYes","0.95 (0.75-1.20, p=.664)",""
"cerebrovascular_disease","No","942 (85.2%)","546 (79.6%)","cerebrovascular_diseaseNo","",""
"","Yes","163 (14.8%)","140 (20.4%)","cerebrovascular_diseaseYes","1.48 (1.15-1.90, p=.002)","2.19 (1.64-2.93, p<.001)"
"diabetes","No","709 (64.2%)","425 (62%)","diabetesNo","",""
"","Yes","396 (35.8%)","261 (38%)","diabetesYes","1.10 (0.90-1.34, p=.346)",""
"severe_liver_disease","No","1092 (98.8%)","658 (95.9%)","severe_liver_diseaseNo","",""
"","Yes","13 (1.2%)","28 (4.1%)","severe_liver_diseaseYes","3.57 (1.84-6.95, p<.001)","1.76 (0.80-3.89, p=.160)"
"rel_disease","No","775 (70.1%)","445 (64.9%)","rel_diseaseNo","",""
"","Yes","330 (29.9%)","241 (35.1%)","rel_diseaseYes","1.27 (1.04-1.56, p=.020)","0.88 (0.67-1.16, p=.374)"
"hypertensive","No","245 (22.2%)","131 (19.1%)","hypertensiveNo","",""
"","Yes","860 (77.8%)","555 (80.9%)","hypertensiveYes","1.21 (0.95-1.53, p=.121)",""
"invasive_ventilator_flag","No","868 (78.6%)","270 (39.4%)","invasive_ventilator_flagNo","",""
"","Yes","237 (21.4%)","416 (60.6%)","invasive_ventilator_flagYes","5.64 (4.57-6.96, p<.001)","5.79 (4.57-7.33, p<.001)"
"noninvasive_ventilator_flag","No","237 (21.4%)","132 (19.2%)","noninvasive_ventilator_flagNo","",""
"","Yes","868 (78.6%)","554 (80.8%)","noninvasive_ventilator_flagYes","1.15 (0.90-1.45, p=.262)",""
"gender","Female","518 (46.9%)","317 (46.2%)","genderFemale","",""
"","Male","587 (53.1%)","369 (53.8%)","genderMale","1.03 (0.85-1.24, p=.783)",""
"age_score","Mean ± SD","3.1 ± 0.7","3.1 ± 0.7","age_score","1.00 (0.88-1.14, p=.976)",""
"admission_age","Mean ± SD","76.6 ± 7.5","76.4 ± 7.3","admission_age","1.00 (0.98-1.01, p=.584)",""
"sbp_idx1","Mean ± SD","124.1 ± 24.3","123.4 ± 25.5","sbp_idx1","1.00 (0.99-1.00, p=.528)",""
"dbp_idx1","Mean ± SD","67.3 ± 17.0","68.0 ± 20.3","dbp_idx1","1.00 (1.00-1.01, p=.423)",""
"mbp_idx1","Mean ± SD","84.2 ± 17.4","83.5 ± 19.9","mbp_idx1","1.00 (0.99-1.00, p=.427)",""
"temperature_idx1","Mean ± SD","36.7 ± 0.6","36.7 ± 0.7","temperature_idx1","1.06 (0.91-1.23, p=.448)",""
"resp_rate_idx1","Mean ± SD","20.0 ± 5.8","21.0 ± 6.6","resp_rate_idx1","1.03 (1.01-1.04, p<.001)","1.03 (1.01-1.05, p=.002)"
"spo2_idx1","Mean ± SD","96.1 ± 4.0","96.2 ± 4.6","spo2_idx1","1.00 (0.98-1.03, p=.808)",""
"glucose_idx1","Mean ± SD","147.6 ± 66.1","156.1 ± 73.7","glucose_idx1","1.00 (1.00-1.00, p=.012)","1.00 (0.99-1.00, p=.162)"
"inr_idx1","Mean ± SD","1.5 ± 1.0","1.5 ± 0.9","inr_idx1","1.04 (0.95-1.15, p=.380)",""
"pt_idx1","Mean ± SD","15.8 ± 9.9","16.7 ± 12.1","pt_idx1","1.01 (1.00-1.02, p=.112)",""
"aniongap_idx1","Mean ± SD","13.8 ± 4.3","14.9 ± 4.6","aniongap_idx1","1.06 (1.04-1.08, p<.001)","1.05 (1.02-1.08, p=.001)"
"bicarbote_idx1","Mean ± SD","23.9 ± 5.0","23.3 ± 5.3","bicarbote_idx1","0.98 (0.96-0.99, p=.012)","1.05 (1.00-1.10, p=.043)"
"potassium_idx1","Mean ± SD","4.4 ± 0.8","4.4 ± 0.8","potassium_idx1","1.10 (0.98-1.25, p=.114)",""
"sodium_idx1","Mean ± SD","137.9 ± 4.9","138.2 ± 5.8","sodium_idx1","1.01 (0.99-1.03, p=.317)",""
"glucose_idx1_18","Mean ± SD","144.1 ± 67.2","154.6 ± 76.9","glucose_idx1_18","1.00 (1.00-1.00, p=.003)","1.00 (1.00-1.00, p=.203)"
"creatinine_idx1","Mean ± SD","1.3 ± 1.2","1.7 ± 1.5","creatinine_idx1","1.19 (1.10-1.28, p<.001)","1.00 (0.89-1.13, p=.956)"
"bun_idx1","Mean ± SD","27.4 ± 21.5","33.6 ± 25.7","bun_idx1","1.01 (1.01-1.02, p<.001)","1.01 (1.00-1.01, p=.085)"
"wbc_idx1","Mean ± SD","12.2 ± 6.9","13.0 ± 8.0","wbc_idx1","1.01 (1.00-1.03, p=.028)","1.00 (0.98-1.01, p=.668)"
"rbc_idx1","Mean ± SD","3.6 ± 0.8","3.5 ± 0.8","rbc_idx1","0.99 (0.88-1.12, p=.921)",""
"platelet_idx1","Mean ± SD","205.7 ± 94.0","206.3 ± 98.1","platelet_idx1","1.00 (1.00-1.00, p=.888)",""
"hemoglobin_idx1","Mean ± SD","10.5 ± 2.3","10.4 ± 2.3","hemoglobin_idx1","1.00 (0.96-1.04, p=.841)",""
"ph_idx1","Mean ± SD","7.4 ± 0.1","7.3 ± 0.1","ph_idx1","0.07 (0.03-0.22, p<.001)","0.49 (0.10-2.46, p=.385)"
