Feature,Importance
congestive_heart_failure,0.0
peripheral_vascular_disease,0.0
cerebrovascular_disease,0.0
diabetes,0.0
severe_liver_disease,0.0
rel_disease,0.0
hypertensive,0.0
crrt_flag,0.0
aki_flag,0.0
noninvasive_ventilator_flag,0.0
neuroblock_used,0.0
icu_outcome_7d,0.0
icu_outcome_90d,0.0
icu_outcome_28d,0.0
gender,0.0
age_score,0.0
pt_idx1,0.0
los_hospital,0.0
admission_age,0.0
sbp_idx1,0.0
mbp_idx1,0.0
dbp_idx1,0.0
temperature_idx1,0.0
resp_rate_idx1,0.0
bicarbote_idx1,0.0
spo2_idx1,0.0
glucose_idx1,0.0
inr_idx1,0.0
potassium_idx1,0.0
aniongap_idx1,0.0
glucose_idx1_18,0.0
sodium_idx1,0.0
heart_rate_idx1,0.0
baseexcess_idx1,0.0
creatinine_idx1,0.0
bun_idx1,0.0
wbc_idx1,0.0
rbc_idx1,0.0
platelet_idx1,0.0
hemoglobin_idx1,0.0
ph_idx1,0.0
noninvasive_ventilator_hours,0.0
apsiii_min,0.0
sofa_idx1,0.0
gcs_idx1,0.0
urineoutput_sum,0.0
aki_stage,0.0
invasive_ventilator_flag,0.41030339251847203
los_icu,0.589696607481528
