Feature,Importance
hypertensive,0.0
crrt_flag,0.0
rel_disease,0.0
neuroblock_used,0.0
gender,0.0
diabetes,0.0769097943862946
noninvasive_ventilator_flag,0.08292733005626358
severe_liver_disease,0.09652739030804389
pt_idx1,0.10434958307780536
bicarbote_idx1,0.12030516831312998
inr_idx1,0.16754382806760695
aki_flag,0.16952422378389018
peripheral_vascular_disease,0.19424954725189467
mbp_idx1,0.20951855460698973
potassium_idx1,0.2587696326972084
hemoglobin_idx1,0.2986521085840186
sbp_idx1,0.3201385948119201
admission_age,0.3208020866341868
icu_outcome_28d,0.36536591215945974
congestive_heart_failure,0.37634775816511895
icu_outcome_7d,0.4502427811102213
age_score,0.48211145105031816
noninvasive_ventilator_hours,0.5142450978016725
baseexcess_idx1,0.5505975880457248
creatinine_idx1,0.6203985519867876
resp_rate_idx1,0.6340861818085992
glucose_idx1,0.6853936510423982
icu_outcome_90d,0.7068981060015463
cerebrovascular_disease,0.7807786897335526
rbc_idx1,0.7829957133069863
platelet_idx1,0.7882432014429673
glucose_idx1_18,0.8198900122107607
wbc_idx1,0.8332452415533731
ph_idx1,0.9493792895259148
dbp_idx1,1.0177639897512778
urineoutput_sum,1.0201702478245294
sofa_idx1,1.1744727696629123
spo2_idx1,1.2185539901652331
heart_rate_idx1,1.3962230386396082
bun_idx1,1.4055715901438792
sodium_idx1,2.0101475224694823
aki_stage,2.0443296699306184
aniongap_idx1,2.112734141534321
temperature_idx1,2.4687350672450155
los_hospital,4.140081996189588
apsiii_min,5.872784726234549
gcs_idx1,11.11533247393122
invasive_ventilator_flag,20.917128919614083
los_icu,29.325532787139
