Feature,Importance
congestive_heart_failure,0.0
peripheral_vascular_disease,0.0
diabetes,0.0
severe_liver_disease,0.0
hypertensive,0.0
rel_disease,0.0
crrt_flag,0.0
neuroblock_used,0.0
gender,0.0
age_score,0.0
inr_idx1,0.0
bicarbote_idx1,0.0001530885264024506
bun_idx1,0.0007800323738815373
aki_flag,0.0013490365004118227
hemoglobin_idx1,0.001557322087229542
resp_rate_idx1,0.001718311073465143
platelet_idx1,0.001724866172847854
creatinine_idx1,0.0019507389218338426
baseexcess_idx1,0.0022297383912696666
icu_outcome_90d,0.0023776635598390713
noninvasive_ventilator_flag,0.002599354423007209
aki_stage,0.0029262117368794092
pt_idx1,0.003096760905490737
mbp_idx1,0.003357399769081254
potassium_idx1,0.003531720510690842
glucose_idx1_18,0.003791381285405904
spo2_idx1,0.003904450732208389
sofa_idx1,0.004073399846489162
admission_age,0.004742519828435213
sbp_idx1,0.005043738740500591
dbp_idx1,0.005317261177419262
cerebrovascular_disease,0.0056490842684597834
wbc_idx1,0.005681254537872952
icu_outcome_28d,0.0057908188106173914
icu_outcome_7d,0.006754476648344854
glucose_idx1,0.006878510172836383
noninvasive_ventilator_hours,0.006937292925213367
rbc_idx1,0.007816728256896928
aniongap_idx1,0.009866695887829032
ph_idx1,0.010042667277116547
urineoutput_sum,0.01093763706283917
sodium_idx1,0.012954586436629636
heart_rate_idx1,0.014624665738624152
temperature_idx1,0.025501024247293502
los_hospital,0.026522089535868536
apsiii_min,0.04421063664312977
gcs_idx1,0.1005349217968737
invasive_ventilator_flag,0.17652404112621609
los_icu,0.4665478720645493
