Feature,Importance
congestive_heart_failure,0.0
peripheral_vascular_disease,0.0
cerebrovascular_disease,0.0
diabetes,0.0
severe_liver_disease,0.0
rel_disease,0.0
hypertensive,0.0
crrt_flag,0.0
aki_flag,0.0
noninvasive_ventilator_flag,0.0
neuroblock_used,0.0
icu_outcome_28d,0.0
gender,0.0
icu_outcome_90d,0.0
los_hospital,0.0
age_score,0.0
potassium_idx1,0.0
bicarbote_idx1,0.0
dbp_idx1,0.0
sbp_idx1,0.0
mbp_idx1,0.0
resp_rate_idx1,0.0
inr_idx1,0.0
aki_stage,0.0
ph_idx1,0.0
sofa_idx1,0.0
platelet_idx1,0.0
hemoglobin_idx1,0.0
wbc_idx1,0.0
bun_idx1,0.0
creatinine_idx1,0.0
glucose_idx1_18,0.0
heart_rate_idx1,0.0
urineoutput_sum,0.0
baseexcess_idx1,4.898359775543213
spo2_idx1,7.976659774780273
glucose_idx1,8.296640396118164
rbc_idx1,8.649979591369629
sodium_idx1,10.797900199890137
noninvasive_ventilator_hours,11.223980188369751
icu_outcome_7d,12.075900077819824
temperature_idx1,12.58402967453003
pt_idx1,20.09018039703369
aniongap_idx1,24.597400665283203
apsiii_min,26.028200149536133
admission_age,29.727550268173218
gcs_idx1,80.37279891967773
invasive_ventilator_flag,142.1535987854004
los_icu,425.0820679664612
