Feature,Importance
platelet_idx1,4.711631112652103e-05
urineoutput_sum,9.65420603419121e-05
glucose_idx1_18,0.0004972309524780069
glucose_idx1,0.0005017282319353653
wbc_idx1,0.0006145548641147867
bun_idx1,0.0006705325860780753
sbp_idx1,0.002754670920192361
heart_rate_idx1,0.0031394265603219957
admission_age,0.0036026998341667856
baseexcess_idx1,0.006702752419622114
noninvasive_ventilator_hours,0.007173426494721878
apsiii_min,0.007733056631751045
pt_idx1,0.007751206577627206
resp_rate_idx1,0.008777552505487538
potassium_idx1,0.010843785315521496
hemoglobin_idx1,0.01118241020249553
hypertensive,0.011276256169820899
bicarbote_idx1,0.014027689537723374
mbp_idx1,0.014882096724104826
creatinine_idx1,0.014952638346841933
sodium_idx1,0.015379695109509331
dbp_idx1,0.01688274562911359
spo2_idx1,0.020930376935063635
los_hospital,0.02140640647185383
aniongap_idx1,0.03056130641739798
gcs_idx1,0.03464030775486037
noninvasive_ventilator_flag,0.03614274755156997
neuroblock_used,0.04620236630754299
rbc_idx1,0.04625768260060093
rel_disease,0.04688690394500046
peripheral_vascular_disease,0.049830727000273065
severe_liver_disease,0.056918991960606444
inr_idx1,0.057647278342939624
sofa_idx1,0.060388737132458147
crrt_flag,0.07417005625441184
age_score,0.07509251858496277
congestive_heart_failure,0.10043656098067498
gender,0.1631811971600843
aki_flag,0.16799216591653204
ph_idx1,0.16969091886513338
aki_stage,0.17037793520891928
diabetes,0.17292339345731086
cerebrovascular_disease,0.18012351101911106
temperature_idx1,0.19257795509910017
icu_outcome_90d,0.20634282886312008
icu_outcome_7d,0.21458817345042705
icu_outcome_28d,0.21980216291407934
los_icu,0.3274790901802892
invasive_ventilator_flag,0.7784992129071957
