Feature,Importance
congestive_heart_failure,0.0
peripheral_vascular_disease,0.0
cerebrovascular_disease,0.0
severe_liver_disease,0.0
hypertensive,0.0
rel_disease,0.0
crrt_flag,0.0
neuroblock_used,0.0
gender,0.0
icu_outcome_7d,0.0
potassium_idx1,0.0
pt_idx1,0.0
inr_idx1,0.0
dbp_idx1,0.0
admission_age,0.0
age_score,0.0
glucose_idx1,0.0
platelet_idx1,0.0
urineoutput_sum,0.0
hemoglobin_idx1,0.0
wbc_idx1,0.0
bun_idx1,0.0
creatinine_idx1,0.0
mbp_idx1,0.007150358
noninvasive_ventilator_flag,0.009573915
resp_rate_idx1,0.011779665
bicarbote_idx1,0.011843412
heart_rate_idx1,0.01453725
sofa_idx1,0.014591783
glucose_idx1_18,0.016313083
icu_outcome_90d,0.018452076
rbc_idx1,0.018540852
aki_stage,0.01877406
aki_flag,0.022537969
diabetes,0.022886205
temperature_idx1,0.024064867
sodium_idx1,0.028192949
icu_outcome_28d,0.028819647
los_hospital,0.028995547
ph_idx1,0.029070355
sbp_idx1,0.029816465
noninvasive_ventilator_hours,0.03423322
aniongap_idx1,0.043566156
gcs_idx1,0.043725062
baseexcess_idx1,0.04577254
apsiii_min,0.047754068
spo2_idx1,0.050454292
los_icu,0.13151892
invasive_ventilator_flag,0.24703525
