,count,mean,std,min,25%,50%,75%,max
congestive_heart_failure,1789.0,0.514253773057574,0.49993653332490734,0.0,0.0,1.0,1.0,1.0
peripheral_vascular_disease,1789.0,0.21185019564002236,0.4087334996583601,0.0,0.0,0.0,0.0,1.0
cerebrovascular_disease,1789.0,0.17495807713806596,0.3800374715539441,0.0,0.0,0.0,0.0,1.0
diabetes,1789.0,0.37786472889882616,0.48498912743203787,0.0,0.0,0.0,1.0,1.0
severe_liver_disease,1789.0,0.022917831190609278,0.1496834260430415,0.0,0.0,0.0,0.0,1.0
rel_disease,1789.0,0.3236444941307993,0.46799696808365776,0.0,0.0,0.0,1.0,1.0
hypertensive,1789.0,0.7926215762996087,0.4055422839551875,0.0,1.0,1.0,1.0,1.0
crrt_flag,1789.0,0.05477920626048072,0.22761239791300844,0.0,0.0,0.0,0.0,1.0
aki_flag,1789.0,0.8166573504751258,0.3870553745275916,0.0,1.0,1.0,1.0,1.0
invasive_ventilator_flag,1789.0,0.36780324203465625,0.48234226869820207,0.0,0.0,0.0,1.0,1.0
noninvasive_ventilator_flag,1789.0,0.7942984907769703,0.4043263271942284,0.0,1.0,1.0,1.0,1.0
neuroblock_used,1789.0,0.023476802683063163,0.15145449602605143,0.0,0.0,0.0,0.0,1.0
icu_outcome_7d,1789.0,0.092230296254891,0.2894316743854273,0.0,0.0,0.0,0.0,1.0
icu_outcome_28d,1789.0,0.1995528228060369,0.3997759735195358,0.0,0.0,0.0,0.0,1.0
icu_outcome_90d,1789.0,0.27780883174958076,0.4480438533564071,0.0,0.0,0.0,1.0,1.0
gender,1789.0,0.534376746785914,0.4989563100808528,0.0,0.0,1.0,1.0,1.0
age_score,1789.0,3.0793739519284515,0.7330214275270103,2.0,3.0,3.0,4.0,4.0
los_hospital,1789.0,12.683232019648408,11.564899214085072,0.00625,5.646527778,9.084722222,15.76597222,135.8569444
admission_age,1789.0,76.42680381637227,7.3244803214560195,65.00011218,70.49287527,75.46805345,81.5823289,98.78698895
los_icu,1789.0,4.67181106763555,5.739288687430061,1.0,1.7,2.74,5.19,51.93
sbp_idx1,1789.0,124.14309670206819,24.779292737498,51.0,107.0,122.0,140.0,233.0
dbp_idx1,1789.0,67.61179429849078,18.5326762806458,10.0,55.0,65.0,77.0,201.0
mbp_idx1,1789.0,83.98910005589715,18.53676342102385,9.0,72.0,82.0,94.0,211.0
temperature_idx1,1789.0,36.68105086640581,0.6250777241922861,32.5,36.44,36.67,36.94,40.28
resp_rate_idx1,1789.0,20.44801565120179,6.272684357333372,3.0,16.0,20.0,24.0,69.0
spo2_idx1,1789.0,96.01676914477362,4.214302437737567,58.0,94.0,97.0,100.0,100.0
glucose_idx1,1789.0,154.63117197691446,87.64466254870898,17.0,108.0,134.0,176.0,2048.0
inr_idx1,1789.0,1.4657126886528786,0.8212912080999156,0.9,1.1,1.3,1.5,14.1
pt_idx1,1789.0,15.975796534376745,9.420908905348458,9.2,12.2,13.7,16.3,150.0
aniongap_idx1,1789.0,14.319172722191169,4.343909334748741,3.0,11.0,14.0,17.0,44.0
bicarbote_idx1,1789.0,23.61347121296814,5.1657777981033774,6.0,21.0,23.0,26.0,49.0
potassium_idx1,1789.0,4.403074343208496,0.7860903067846463,1.7,3.9,4.3,4.8,10.0
sodium_idx1,1789.0,138.0145332588038,5.167421941004127,111.0,135.0,138.0,141.0,167.0
glucose_idx1_18,1789.0,150.88652878703186,83.56494870313904,17.0,107.0,131.0,168.0,1139.0
creatinine_idx1,1789.0,1.5070430408049191,1.3815035857870315,0.3,0.8,1.1,1.6,12.0
bun_idx1,1789.0,30.72554499720514,24.301290261747376,3.0,16.0,23.0,37.0,210.0
wbc_idx1,1789.0,12.81162660704304,10.165794462345593,0.1,7.9,11.0,15.2,203.5
rbc_idx1,1789.0,3.5515595304639462,0.7882613853885232,1.41,2.97,3.52,4.08,6.31
platelet_idx1,1789.0,205.2822806036892,96.42459018842771,8.0,141.0,189.0,250.0,821.0
hemoglobin_idx1,1789.0,10.466405813303522,2.302616325046114,4.0,8.7,10.3,12.0,19.1
ph_idx1,1789.0,7.344695360536613,0.09149503651374355,6.84,7.3,7.36,7.4,7.59
baseexcess_idx1,1789.0,-0.27406372275013974,5.237826867031977,-25.0,-3.0,0.0,2.0,27.0
apsiii_min,1789.0,45.886528787031864,19.169822209024186,7.0,32.0,43.0,55.0,150.0
sofa_idx1,1789.0,1.8490776970374512,2.189211264579559,0.0,0.0,1.0,3.0,11.0
gcs_idx1,1789.0,14.427054220234767,1.8394342116787747,3.0,15.0,15.0,15.0,15.0
noninvasive_ventilator_hours,1789.0,47.03529904974846,50.39407391523941,0.15,17.0,31.63,57.07,415.83
aki_stage,1789.0,1.9703745108999442,0.7209822132571398,1.0,1.0,2.0,2.0,3.0
urineoutput_sum,1789.0,1586.7680268306317,1127.881305219634,0.0,850.0,1325.0,2100.0,14090.0
heart_rate_idx1,1789.0,88.06651760760201,20.470815757206392,35.0,74.0,85.0,100.0,177.0
Result,1789.0,0.38289547233091115,0.4862290416072528,0.0,0.0,0.0,1.0,1.0
