""
"1","Variables","Total (n = 2557)","0 (n = 1578)","1 (n = 979)","p"
"2","congestive_heart_failure, n (%)","","","","0.106"
"3","  0","1252 (49)","793 (50)","459 (47)",""
"4","  1","1305 (51)","785 (50)","520 (53)",""
"5","peripheral_vascular_disease, n (%)","","","","0.312"
"6","  0","2004 (78)","1226 (78)","778 (79)",""
"7","  1","553 (22)","352 (22)","201 (21)",""
"8","cerebrovascular_disease, n (%)","","","","0.002"
"9","  0","2119 (83)","1337 (85)","782 (80)",""
"10","  1","438 (17)","241 (15)","197 (20)",""
"11","diabetes, n (%)","","","","0.586"
"12","  0","1601 (63)","995 (63)","606 (62)",""
"13","  1","956 (37)","583 (37)","373 (38)",""
"14","severe_liver_disease, n (%)","","","","< 0.001"
"15","  0","2498 (98)","1559 (99)","939 (96)",""
"16","  1","59 (2)","19 (1)","40 (4)",""
"17","rel_disease, n (%)","","","","0.002"
"18","  0","1724 (67)","1101 (70)","623 (64)",""
"19","  1","833 (33)","477 (30)","356 (36)",""
"20","hypertensive, n (%)","","","","0.606"
"21","  0","524 (20)","329 (21)","195 (20)",""
"22","  1","2033 (80)","1249 (79)","784 (80)",""
"23","crrt_flag, n (%)","","","","< 0.001"
"24","  0","2417 (95)","1536 (97)","881 (90)",""
"25","  1","140 (5)","42 (3)","98 (10)",""
"26","aki_flag, n (%)","","","","< 0.001"
"27","  0","466 (18)","385 (24)","81 (8)",""
"28","  1","2091 (82)","1193 (76)","898 (92)",""
"29","invasive_ventilator_flag, n (%)","","","","< 0.001"
"30","  0","1605 (63)","1229 (78)","376 (38)",""
"31","  1","952 (37)","349 (22)","603 (62)",""
"32","noninvasive_ventilator_flag, n (%)","","","","0.601"
"33","  0","511 (20)","321 (20)","190 (19)",""
"34","  1","2046 (80)","1257 (80)","789 (81)",""
"35","neuroblock_used, n (%)","","","","< 0.001"
"36","  0","2499 (98)","1560 (99)","939 (96)",""
"37","  1","58 (2)","18 (1)","40 (4)",""
"38","icu_outcome_7d, n (%)","","","","< 0.001"
"39","  0","2313 (90)","1463 (93)","850 (87)",""
"40","  1","244 (10)","115 (7)","129 (13)",""
"41","icu_outcome_28d, n (%)","","","","< 0.001"
"42","  0","2037 (80)","1362 (86)","675 (69)",""
"43","  1","520 (20)","216 (14)","304 (31)",""
"44","icu_outcome_90d, n (%)","","","","< 0.001"
"45","  0","1835 (72)","1255 (80)","580 (59)",""
"46","  1","722 (28)","323 (20)","399 (41)",""
"47","gender, n (%)","","","","0.367"
"48","  0","1182 (46)","741 (47)","441 (45)",""
"49","  1","1375 (54)","837 (53)","538 (55)",""
